ID,Title,IsPrivateIndividual,Comments
3414,Elinta Charge,False,
3415,ejoin,False,
3416,IVY,False,
3418,evconnect.ro,False,
3419,EV-Mag,False,
3420,plugpoint.ro,False,
3421,Rompetrol,False,
3422,eondrive.ro,False,
3423,Westfalen Weser Netz,False,
3424,EV Direct,False,
3425,OlifeEnergy,False,
3426,Blink Charging Europe,False,
3427,EVziiin,False,
3428,EV Loader,False,
3429,Q1 Autostrom,False,
3430,GridServe,False,
3431,Continente Plug&Charge,False,
3432,Volthero,False,
3433,Sonol-evi (Israel),False,
3434,EVEdge (Israel),False,
3435,Afcon (Israel),False,
3436,Tata Power,False,
3437,Elli (Volkswagen Group Charging GmbH),False,DE*GCE
3438,NRG4YOU,False,
3439,Voltrun,False,
3440,HeraRicarica Pubblica,False,
3441,Blue Marble Charging,False,
3442,e-VOLTT,False,
3443,BIGGIE Energie,False,
3444,eways,False,
3445,EDP Smart,False,
3446,EV Dot,False,
3447,Total EV Charge,False,
3448,ZEN (Zero Emission Network)/PROVIRIDIS,False,
3449,ePower,False,"Mostly in Ireland, but some outside the country"
3450,GO+EAuto,False,
3451,Greenway Polska (PL),False,
3452,TAURON Nowe Technologie,False,
3453,PKP Mobility,False,
3454,ZEF Energy,False,
3455,Aral pulse,False,BP's brand name in Germany
3456,Manaseer,False,
3457,ION (Jordan),False,
3458,JoPetrol,False,
3459,ACCIONA - Cargacoches,False,
3460,PEA Volta,False,"Provincial Electricity Authority, Thailand"
3461,Enex E-Pro,False,
3462,TEA.,False,
3463,AIMove,False,
3464,ALDI SÜD,False,
3466,Next Step Mobility (DE),False,
3467,Mobiliti.hu,False,
3468,Mobiliti.hu,False,
3469,Mobiliti.hu,False,
3470,Mobiliti.hu,False,
3471,MFG EV Power,False,Fossil fuel filling station franchise operator group now doing their own thing in EV charging
3472,eVISO,False,
3473,Vend Electric,False,Apparently operated by Rolec Services.
3474,Cogeser Energia (Italia),False,
3475,Zepto,False,
3476,Motionbox,False,
3477,Gyorstöltők,False,
3478,ElpeFuture,False,
3479,Monta,False,
3480,ESPH,False,
3481,Be.EV,False,
3482,EV Oasis,False,
3483,POBAD International,False,
3484,R3,False,
3485,Stations-e,False,
3486,Emfree,False,
3487,МГТС,False,
3488,Jule Energy,False,
3489,Electra,False,
3490,Métropolis,False,
3491,NRGincharge,False,
3492,MER,False,
3493,SWTCH - Charge Everywhere,False,
3494,Go ToU,False,
3495,Qovoltis,False,
3496,Dragon Charging,False,
3497,EcoFactor Network,False,
3498,DEI Blue,False,
3499,Mercadona,False,
3500,Evergo,False,
3501,Protergia Charge,False,
3502,EV Point Moldova,False,
3503,Free To X,False,
3504,Leap24 (NL),False,
3505,EVduty,False,
3506,ABC Lataus,False,
3507,Green Drive,False,
3508,Cable Energia,False,
3509,Connected Kerb,False,
3510,Circle K,False,
3511,Believ,False,GB*LCL
3512,Sigeif (FR),False,
3513,Electric 55 Charging (FR),False,
3514,Ze-Watt (FR),False,
3515,EZ-Charge,False,
3516,Applegreen Electric,False,
3517,Jom Charge,False,
3518,ParkEasy,False,
3519,ELMotion,False,
3520,Polyfazer (RO),False,
3521,Saiel (IT),False,
3522,Sperto (DK),False,
3523,Porsche Smart Mobility GmbH,False,"GB*911,AT*911,CH*911,DE*911,LU*911,NO*911"
3524,Electric Vehicle Institute,False,
3525,Acea,False,
3526,EV Range Charging Network,False,
3527,OpenLoop,False,
3528,Zero (Meridian Energy),False,
3529,Jolt,False,
3530,Hikotron,False,
3531,Paz (Israel),False,
3532,e-Mobilita Brno (cz),False,
3533,E-Way (San Marino),False,
3534,Tesla (including non-tesla),False,Tesla charging including support for non-tesla vehicles
3535,EVerse,False,
3536,Kople,False,
3537,Scottish Power,False,
3538,Power Dot,False,
3539,Zeon Charging,False,
3540,Zoko,False,
3541,Lad Opp,False,
3542,EVCS,False,
3543,Alizé,False,
3544,Kiwi EV,False,
3545,Z Energy,False,
3546,Thundergrid,False,
3547,Counties Energy,False,
3548,CloudCharge,False,
3549,Ather Grid Point (India),False,"Scooter manufacturer that provides a charging network for their customers, with 15A domestic connectors for other EVs"
3550,PowerDot (Es),False,
3551,ECPoints,False,Place To Plug app
3552,BarterGo (ES),False,
3553,Electro-EMT,False,Empresa Municipal de Transportes de Madrid
3554,EV Highway (Horizon Power),False,Rapid charging network in Western Australia
3555,LiFe (Raw Charging) (UK),False,
3556,Place To Plug,False,
3557,GALP Electric,False,
3558,Nissan (ES) Dealer Network,False,
3559,Telepark (Empark),False,
3560,GET Electric (AU),False,
3561,Şarjon (TR),False,
3562,EVC,False,
3563,Tupinambá,False,
3564,EZVolt,False,
3565,Zletric,False,
3566,Copel,False,
3567,Celesc,False,
3568,NeoEnergia,False,
3569,ATM.EV,False,
3571,TotalEnergies (ES),False,
3572,Digavel (ES),False,
3573,Naturgy (ES),False,
3574,We Drive Solar,False,
3575,Chargebay,False,
3576,Procredit,False,
3577,B:SM (ES),False,
3578,Weev,False,
3579,E-Flux,False,
3580,Recharge Alaska,False,
3581,Zest Charging,False,bespoke mobile phone app required
3582,Reev (DE),False,DE*ONE
3583,Eranovum (ES),False,
3584,CEPSA (ES),False,App: CEPSA Gow
3585,Orion Telekom (Serbia),False,
3586,POWY,False,
3587,evyve,False,GB*DRV formerly Drivenergy Ltd) Contactless payment pre-auth is £5.00
3588,Atlante,False,FR*ATL
3589,Yawatt (Es),False,
3590,Optimile,False,BE*OPT
3591,Shell Recharge (Malaysia),False,quite different network to that operated in Europe
3592,РусГидро (Russia),False,
3593,BP EV Charging (NZ),False,
3594,e-Vadea,False,
3595,Engie,False,
3596,Neste Lataus,False,
3597,UTE (Uruguay),False,
3598,Maxol,False,
3599,EG Group EV Point (UK),False,
3600,OnCharge (TR),False,
3601,En Yakıt (TR),False,
3602,Powerşarj,False,
3603,WAT Mobilite,False,
3604,GioEV (TR),False,
3605,Clenergy,False,
3606,Electro Transport Plus (RU),False,
3607,Rivian Adventure Network,False,
3608,OESTE Movilidad (ES),False,
3609,Everty,False,
3610,Rexcharge (Malaysia),False,
3611,Polenergia eMobility,False,
3612,SureCharge (FM Conway) (UK),False,"street lighting contractor. Mostly lamp-post chargers, proprietary app or Bonnet app required."
3613,Plug N Go Ltd,False,
3614,Drax Energy Solutions Limited,False,
3615,Silverstone Green Energy,False,
3616,EVN (Bulgaria),False,
3617,Rivian Waypoints L2 Network,False,
3618,Powerflex,False,
3619,AmpUp,False,
3620,Livingston Charge Port,False,
3621,Chargelab,False,
3622,Exploren,False,
3623,EVUp (AU),False,
3624,Elanga (AU),False,
3625,Ampol AmpCharge,False,
3626,WA EV Network (AU),False,
3627,EVX (AU),False,
3628,CV Charging Vehicles,False,
3629,Project EV,False,
3630,EV Georgia,False,
3631,e-space (GE),False,
3632,PowerGo (ES),False,Charge using the PowerGo Charge App.
3633,Rosseti (RU,False,App: rs.em
3634,Punkt-E,False,
3635,Seven (IL),False,
3636,Ekoen,False,
3637,APCOA Parking,False,Car park operator
3638,Electrifly,False,
3639,IECharge (FR),False,
3640,Ouest Charge,False,
3641,EVzen (FR),False,
3642,Маланка (Belarus),False,
3643,EVPower (PT),False,
3644,Moon Power,False,
3645,Helexia (PT),False,
3646,Sunenergy (PT),False,
3647,Ecoinside (PT),False,
3648,eVaz Energy (PT),False,
3649,Maksu (PT),False,
3650,it Charge (RU),False,
3651,Dream Energy,False,
3652,Avia (FR),False,
3653,Энергия Москвы,False,
3654,SDET (FR),False,+33 5 63 43 21 40
3655,EdgeControl (IL),False,
3656,Sitronics Electro (RU),False,
3657,NEXTCHARGE,False,
3658,Smart Charge (AU),False,
3659,BP Pulse (AU),False,
3660,ChargeSini,False,
3661,Bump (FR),False,
3662,EVSpots (RO),False,
3663,EVPower (MY),False,
3664,PLN (Indonesia),False,
3665,Hyundai Indonesia,False,
3666,Shell Recharge Indonesia,False,
3667,Wattif EV,False,
3668,EVCuzz (Indonesia),False,
3669,Starvo (Indonesia),False,
3670,CitiPark (UK),False,
3671,eMallorca (ES),False,
3672,Westmorland Family,False,
3673,Fuuse,False,GB*FSE
3674,DriveEnergy (RU),False,
3675,E-Way (RU),False,
3676,ZEVS (RU),False,
3677,Fastvolt,False,
3678,Charge My Ride (Malta),False,
3679,U-Power,False,
3680,Amperio (DE),False,amperio GmbH DE*AMP
